,features,label,indexedFeatures,prediction
0,"[0.7,39.6,8.7]",1.6,"[0.7,39.6,8.7]",7.8187018684882945
1,"[5.4,29.9,9.4]",5.3,"[5.4,29.9,9.4]",7.835933484918925
2,"[7.3,28.1,41.4]",5.5,"[7.3,28.1,41.4]",7.252627555656723
3,"[7.8,38.9,50.6]",6.6,"[7.8,38.9,50.6]",7.311525484246692
4,"[8.4,27.2,2.1]",5.7,"[8.4,27.2,2.1]",7.255875143827084
5,"[8.7,48.9,75.0]",7.2,"[8.7,48.9,75.0]",8.33345418373106
6,"[16.9,43.7,89.4]",8.7,"[16.9,43.7,89.4]",8.409388922308521
7,"[17.2,45.9,69.3]",9.3,"[17.2,45.9,69.3]",8.488296582997874
8,"[18.8,21.7,50.4]",7.0,"[18.8,21.7,50.4]",6.957490197607787
9,"[23.8,35.1,65.9]",9.2,"[23.8,35.1,65.9]",8.383571564180887
10,"[26.8,33.0,19.3]",8.8,"[26.8,33.0,19.3]",9.813710574527198
11,"[27.5,1.6,20.7]",6.9,"[27.5,1.6,20.7]",7.044966587401296
12,"[36.9,38.6,65.6]",10.8,"[36.9,38.6,65.6]",12.007799910254377
13,"[38.0,40.3,11.9]",10.9,"[38.0,40.3,11.9]",10.706895164682283
14,"[38.2,3.7,13.8]",7.6,"[38.2,3.7,13.8]",8.251401811990412
15,"[43.0,25.9,20.5]",9.6,"[43.0,25.9,20.5]",10.964389908940504
16,"[43.1,26.7,35.1]",10.1,"[43.1,26.7,35.1]",11.451544477349541
17,"[44.7,25.8,20.6]",10.1,"[44.7,25.8,20.6]",10.964389908940504
18,"[53.5,2.0,21.4]",8.1,"[53.5,2.0,21.4]",8.454102688883891
19,"[70.6,16.0,40.8]",10.5,"[70.6,16.0,40.8]",11.037937269103056
20,"[74.7,49.4,45.7]",14.7,"[74.7,49.4,45.7]",13.601815776055151
21,"[75.1,35.0,52.7]",12.6,"[75.1,35.0,52.7]",11.614756000989894
22,"[75.3,20.3,32.5]",11.3,"[75.3,20.3,32.5]",11.467319375286568
23,"[75.5,10.8,6.0]",9.9,"[75.5,10.8,6.0]",8.724625652896343
24,"[76.4,0.8,14.8]",9.4,"[76.4,0.8,14.8]",8.69051677560175
25,"[76.4,26.7,22.3]",11.8,"[76.4,26.7,22.3]",12.216938621363365
26,"[85.7,35.8,49.3]",13.3,"[85.7,35.8,49.3]",17.8147560009899
27,"[88.3,25.5,73.4]",12.9,"[88.3,25.5,73.4]",14.440899294479221
28,"[89.7,9.9,35.7]",10.6,"[89.7,9.9,35.7]",9.036223947788109
29,"[93.9,43.5,50.5]",15.3,"[93.9,43.5,50.5]",17.653247040360704
30,"[94.2,4.9,8.1]",9.7,"[94.2,4.9,8.1]",10.012104332449695
31,"[95.7,1.4,7.4]",9.5,"[95.7,1.4,7.4]",9.96521849733718
32,"[96.2,14.8,38.9]",11.4,"[96.2,14.8,38.9]",12.494073757011638
33,"[110.7,40.6,63.2]",16.0,"[110.7,40.6,63.2]",17.485652378407188
